iter	Passed	Remaining
0	1	99
1	1	89
2	2	84
3	3	77
4	3	75
5	4	74
6	5	72
7	6	71
8	7	71
9	8	72
10	9	73
11	10	74
12	11	74
13	12	74
14	12	72
15	13	70
16	13	67
17	14	65
18	14	63
19	15	61
20	15	60
21	16	58
22	16	56
23	17	55
24	17	53
25	18	52
26	18	51
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	56	0
